,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q90.000,0.14733416904488839,0.12323666275831746,0.9858933020665397,0.21908740045923106,12474,382858,770,53814,0.14904559962304076,0.12477997083041865,1.0,0.2218744537890274,12474,382858,0,54584
Q91.000,0.15810729113879035,0.12435547748545261,0.9831086032537008,0.22078357556494996,17473,377859,922,53662,0.16015656255834423,0.12622241543972268,1.0,0.22415184373761618,17473,377859,0,54584
Q92.000,0.17214991242809768,0.12588298155301184,0.9797742928330646,0.22310151995210908,23973,371359,1104,53480,0.17460370380248758,0.12814860204299636,1.0,0.22718390433836186,23973,371359,0,54584
Q93.000,0.18922643337867512,0.12802310075883305,0.9779422541404075,0.22640709165712344,31756,363576,1204,53380,0.19190248846451338,0.13053376697914673,1.0,0.23092413653055355,31756,363576,0,54584
Q94.000,0.21291307710772678,0.13124856888906397,0.9766048658947677,0.23139882405797668,42486,352846,1277,53307,0.21575138470292232,0.13397147976339494,1.0,0.23628721207582457,42486,352846,0,54584
Q95.000,0.24470567839330007,0.1357663674324169,0.9739117690165616,0.23831137829241558,56937,338395,1424,53160,0.2470038851696761,0.1380425839745892,0.992855049098637,0.2423849382677398,56937,338395,390,54194
Q96.000,0.2845153317508157,0.141762482913886,0.969020225707167,0.24734038822148546,75115,320217,1691,52893,0.2868891081890842,0.1442121129515899,0.9885863989447458,0.2517060746987839,75115,320217,623,53961
Q97.000,0.30539478480427457,0.14455022021817862,0.9608310127509893,0.251294902325314,84956,310376,2138,52446,0.3087620800327172,0.14810738409768978,0.9885863989447458,0.25761897827991437,84956,310376,623,53961
Q98.000,0.3233937001573627,0.1474824610417831,0.9574417411695735,0.25559375748891033,93239,302093,2323,52261,0.3271721832519848,0.15155285434231885,0.9885863989447458,0.26281542380393436,93239,302093,623,53961
Q99.000,0.3360071657820571,0.14887179118429567,0.9482449069324345,0.2573416629584422,99416,295916,2825,51759,0.3392988913486073,0.152481985129856,0.9753773999706874,0.263734086293159,99416,295916,1344,53240
Q100.000,0.9456476320024182,0.944710119258472,0.5863073428110802,0.7235586705855753,393459,1873,22581,32003,0.962012909076361,0.9545818278813745,0.7212003517514289,0.8216398985629755,393459,1873,15218,39366
Qbest,0.9482103325954178,0.922526270293633,0.6256595339293566,0.7456306016178509,392464,2868,20433,34151,0.9604259461766196,0.9325414559567211,0.7263483804777957,0.8166304493352146,392464,2868,14937,39647
